ano,mes,tributo,decendio,arrecadacao_bruta,retificacao,compensacao,restituicao,outros,arrecadacao_liquida
2019,12,IPI,2º decêndio,1308890309.33,732040.2,-21313917.2,-16729344.79,96744099.44,1368323186.98
2019,5,IPI,2º decêndio,542667314.97,177914.99,-62819916.65,-7638177.03,73273717.4,545660853.68
2019,2,IPI,2º decêndio,636136421.98,-111724.14,-59915844.65,-4456015.8,50000414.64,621653252.03
2019,7,IPI,2º decêndio,575968087.47,-19663.43,-91301585.61,-10682944.12,15983511.5,489947405.81
2019,6,IPI,2º decêndio,665664196.84,-97327.4,-47782797.53,-10362669.65,28589034.59,636010436.85
2019,9,IPI,2º decêndio,715484592.36,1026570.67,63459448.55,-12922295.04,77521178.64,844569495.18
2019,3,IPI,2º decêndio,725018802.99,159277.75,-71946973.32,-7996657.92,68133677.33,713368126.83
2019,11,IPI,2º decêndio,657015174.75,17607007.74,-49716646.11,-3611615.99,67823210.74,689117131.13
2019,4,IPI,2º decêndio,513245152.59,-426560.31,-147563736.81,-78615193.05,12075368.27,298715030.69
2019,10,IPI,2º decêndio,505982029.7,13647.19,-188985823.22,-93043.14,15645883.56,332562694.09
2019,6,IPI,3º decêndio,2864006603.58,-26728.2,-159590307.72,-10430691.46,139094076.33,2833052952.53
2019,2,IPI,3º decêndio,2671755120.04,-162355.67,41362110.7,-15684509.87,56696001.28,2753966366.48
2019,8,IPI,3º decêndio,2855974350.63,276475.39,75771839.33,-87638418.79,62897203.74,2907281450.3
2019,4,IPI,3º decêndio,3026504178.72,-35507.02,-336893922.12,-53961596.89,117627075.94,2753240228.63
2019,5,IPI,3º decêndio,3003874421.89,347933.65,-78074575.11,-112278348.31,62966833.37,2876836265.49
2019,9,IPI,3º decêndio,2840265411.5,-428458.84,2673532.06,-51217441.04,67559394.11,2858852437.79
2019,12,IPI,3º decêndio,2299742945.06,0.0,-161447451.0,-14973230.48,50159662.25,2173481925.83
2019,7,IPI,3º decêndio,2811106330.75,8502308.29,-466142097.35,-45182099.08,118175838.79,2426460281.4
2019,3,IPI,3º decêndio,2989251642.54,210961.81,-44879875.93,-35369781.66,98905350.25,3008118297.01
2019,1,IPI,3º decêndio,3124520357.2,23446.58,-176542912.08,-42858973.78,127922587.68,3033064505.6
2019,10,IPI,3º decêndio,3219142721.46,-4093619.73,-323076673.73,-54659736.95,126444271.47,2963756962.52
2019,11,IPI,3º decêndio,3217714771.37,-1973349.64,-281659862.1,-47847397.81,81050642.08,2967284803.9
2022,12,IR,1º decêndio,18361339543.36,-46738320.34,1279977375.21,-70404109.41,41802417.78,19565976906.6
2022,4,IR,1º decêndio,4468306375.07,1347620.9,412876114.26,-174052826.65,51067370.63,4759544654.21
2022,2,IR,1º decêndio,4083771367.6,8537448.08,970884936.0,-182060666.31,51137724.31,4932270809.68
2022,5,IR,1º decêndio,3831088274.08,4289510.18,1136723881.97,-50441420.78,65207533.65,4986867779.1
2022,3,IR,1º decêndio,3790300230.0,35042512.2,-145780948.6,-12068064.51,53414652.95,3720908382.04
2022,11,IR,1º decêndio,4977835734.84,-466793.53,4569456926.6,-101008582.22,67598086.65,9513415372.34
2022,6,IR,1º decêndio,14798554335.81,5088888.26,828409731.65,-15004103.85,69169062.6,15686217914.47
2022,10,IR,1º decêndio,5255103391.08,254036877.31,178885022.84,-28728539.45,-11090488.27,5648206263.51
2022,8,IR,1º decêndio,4314016903.84,-27824891.75,972059079.33,-395449577.63,52049611.45,4914851125.24
2022,9,IR,1º decêndio,4643624081.05,1444789.32,-243883340.7,-69494409.88,53666729.74,4385357849.53
2022,7,IR,1º decêndio,5118007091.26,6956363.43,-5394876.68,-1055073075.31,53009047.91,4117504550.61
2022,1,IR,1º decêndio,5797483716.31,-3947483.88,51004475.66,-20958350.61,15318570.84,5838900928.32
2022,3,IR,2º decêndio,16765383009.97,8174119.84,-85436084.92,-28721467.68,411040460.37,17070440037.58
2022,5,IR,2º decêndio,17725545092.03,1028094.42,-13857527.4,-43535992.11,516089244.86,18185268911.8
2022,4,IR,2º decêndio,17970889699.93,-1520681.57,138874990.62,-67495659.99,588560523.73,18629308872.72
2022,8,IR,2º decêndio,15328869836.56,23577812.25,-1497244829.46,-13713648.32,484087632.78,14325576803.81
