ano,mes,natureza_juridica_codigo,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas
2022,7,1066,,,,,,92722.76,,,1311.29,47024.97,710.86,,352125.05,,29757.29,93789.53,52917.11
2022,6,1074,,,,,46171.78,477606530.22,,,121888.1,26435.76,26251.25,,,656296123.5,43758133.39,346421.06,1218993.06
2022,11,1074,,,,,53544.24,738534479.07,,,126547.19,27482.93,31314.76,,27489580.01,1006704500.77,46666083.2,8600.34,1879796.88
2022,5,1074,,,,,50365.43,470736410.29,,,131277.78,28471.49,27588.39,,,653127318.58,48441515.5,10268.77,597204.79
2022,9,1074,,,,,64925.69,483424113.95,,,143832.52,31212.28,36959.77,,,661685742.45,39805457.71,118544.84,366784.82
2022,1,1074,,,,,34164.86,463834619.89,,,116831.85,25364.4,26561.06,,,677860753.93,13826524.94,811815.88,167609.07
2022,12,1074,,,,,96748.04,801074553.86,,,178685.76,38775.01,48981.01,,48145906.08,921467075.48,110717111.0,801045.23,926998.17
2022,8,1074,,,,,38760.35,483418843.86,,,96761.55,20986.59,20807.66,,,658244576.35,46876994.56,51149.47,1307504.54
2022,7,1074,,,,,47200.06,477838638.35,,,124201.33,26940.46,24753.72,,,648765560.58,40327372.41,11613895.6,447551.85
2022,10,1074,,,,,44832.15,497766374.39,,,100302.99,21752.23,21219.12,,959398.84,884845624.39,41785604.47,101185.32,780280.82
2022,3,1074,,,,,54725.75,470764733.1,,,112744.58,24463.28,23578.72,,,656516121.8,42332748.02,271260.98,2070163.67
2022,4,1074,,,534.4,,57246.41,470262907.65,,,137440.6,29825.43,33874.31,,,655013462.62,42546226.02,11229.11,15989701.35
2022,2,1074,,,,,57650.81,472479171.56,,,119597.57,25934.62,24984.91,,,650625355.48,30211169.32,298098.5,173991.95
2022,9,1104,,,554.81,,248145.78,763668356.72,,161.66,118165.84,11752384.85,56773.1,291666.56,448546.92,1030278059.33,129259606.55,1945033.53,729318.2
2022,6,1104,,,97.92,,124297.91,729896843.08,,57.0,187864.84,14116888.77,61362.29,177786.79,396458.49,1029784704.05,117618256.41,821185.2,1104730.68
2022,4,1104,,,,,139698.24,715957211.38,,,104426.79,12951333.49,41254.17,178312.73,435007.05,1047709994.45,110755613.86,656715.08,801858.68
2022,1,1104,,,,,130399.92,716677743.97,,12.28,60274.89,11531932.08,24914.01,553803.86,402844.15,1033898333.29,68851204.9,875293.47,577465.31
2022,2,1104,,,,,101246.0,709152788.47,,,56792.85,10899445.61,23298.17,622199.36,437889.79,1021384478.64,88105044.36,411992.19,1473655.23
2022,11,1104,,,827.86,,184342.43,1403869591.98,1795.63,65.82,121098.34,12141646.6,47023.42,223177.91,119804546.44,2043340393.95,108214309.06,623875.06,2968454.67
2022,10,1104,,,718.72,,167981.19,739113160.54,,,97023.82,11774637.81,41645.09,656551.0,1119100.07,1016202850.68,108723949.45,24803.43,4035070.01
2022,3,1104,,,,,168703.98,707840117.39,,68.36,201289.61,11007740.86,80896.63,195413.43,404164.97,1015278335.52,109982696.06,1121225.78,1628340.71
2022,12,1104,,,585.44,,340989.74,890904189.94,,38203.22,194493.81,16142307.4,83859.48,317167.34,194104182.15,1084367276.51,216373887.77,1709429.18,4377695.79
2022,8,1104,,,864.85,,132947.05,780106503.33,,,95427.09,12177250.53,31560.59,165245.76,595409.51,1057698875.5,134648468.58,665575.13,1895110.0
2022,5,1104,,1536.71,,,156647.02,709069638.68,,,110203.77,11969568.9,44610.75,483095.94,462031.49,1030734905.28,131542248.06,615808.07,1547429.78
2022,7,1104,,,65.28,,234624.94,787479603.69,,199.01,98351.7,12052611.12,53757.55,514369.58,511552.89,1017498643.65,110057527.11,342654.23,902246.84
2022,2,1112,,,,,,26564274.31,,,20517.15,75970748.34,8455.11,4740.12,1906229.62,,625854.54,375496.39,91711.52
2022,1,1112,,,,,,69247273.18,,,23051.48,104075087.68,9168.5,3899.37,1813568.18,,670941.88,382370.18,11854.19
2022,5,1112,,,,,,14434030.13,,,23590.47,81457291.19,9335.31,4139.08,1809000.55,,690211.73,56761.27,289773.7
2022,12,1112,,,,,,513566.15,,13.34,42236.73,89998996.86,703269.27,,459211162.78,,731262.76,48100.68,981794.79
2022,8,1112,,,,,,18193430.22,,,44628.14,78861060.12,16234.45,11463.66,1970223.17,,712671.94,83662.68,30628.65
2022,10,1112,,,,,,70495092.26,,10.19,24916.92,78196128.95,10277.36,3602.02,4259824.08,,621240.83,52038.97,1063520.7
2022,6,1112,2592.27,,2227.33,,,581820.59,,,26084.78,77706665.74,8975.68,,1961526.2,,673039.93,74307.71,123425.93
2022,11,1112,,,,,,16190534.49,,,47658.88,85173641.49,17513.66,4611.64,248585079.6,,567934.58,47199.21,43768.54
2022,3,1112,,,,,2183.13,495113.39,,,29335.9,80438822.31,11236.32,,1909171.51,,692211.7,373142.0,73881.85
2022,4,1112,2992.18,,1471.15,,,64897579.47,,,34727.99,82170099.63,12504.9,3512.82,1891337.34,,645304.69,365707.36,77487.49
2022,9,1112,,,,,,1246208.91,,200.8,35347.56,79689859.37,13994.52,,2023155.78,,659229.54,83875.8,28320.76
2022,7,1112,,,,,,72458232.25,,,26108.11,76156696.03,10179.72,3319.2,1977892.22,,699704.96,68876.0,35216.27
2022,11,1120,,,,,2787.18,97555.68,,,395903.73,37486855.45,16658.13,,70400666.63,,932715.02,122799.72,145574.86
2022,1,1120,,,,,1538.2,204341.51,,,451538.56,51083903.05,16413.55,,1493704.57,,771776.44,140038.12,180171.46
2022,12,1120,,,,,1502.27,380996.66,,,367147.1,35492041.73,14931.2,,145893529.54,,1389155.39,188089.8,172614.54
2022,3,1120,,,,,1560.04,338014.93,,,575929.24,34922894.47,20009.5,,1609194.26,,1630762.18,134384.43,180098.96
2022,6,1120,,,2281.44,,1600.95,243639.42,,,294163.02,38792588.42,15689.43,,1837656.03,,1376183.21,134006.05,360935.83
2022,7,1120,,,,,1615.92,221224.75,,,333539.72,32016166.98,29377.87,,1400990.77,,911285.52,138239.77,128054.62
2022,9,1120,,,,,2736.04,231569.16,,423.28,347535.31,40576998.2,16377.45,8.16,1449744.43,,878497.28,140700.76,356619.63
2022,2,1120,,,,,1548.89,168675.2,,,627805.75,27591277.22,13319.83,,1638280.08,,1533907.48,122681.08,179504.54
2022,5,1120,,,,,1585.85,447607.41,,,455318.49,28459370.75,137397.35,,5109453.15,,1551746.36,140897.83,538528.39
2022,4,1120,,,,,1573.7,347189.88,,,573752.16,36908148.57,16822.46,,1515547.66,,1050718.76,155499.34,204251.49
2022,10,1120,,,10.31,,2762.24,216974.37,,,352287.25,35110932.37,16521.51,,1661277.39,,941233.83,225566.82,158210.16
2022,8,1120,,,,,2707.4,359126.58,,,263749.6,37193742.41,16220.32,,1632704.07,,891164.2,493678.83,150645.33
