codigo_nj,imposto_importacao,imposto_exportacao,ipi,irpf,irpj,irrf,iof,itr,cofins,pis_pasep,csll,cide_combustiveis,contribuicao_previdenciaria,cpsss,pagamento_unificado,outras_receitas_rfb,demais_receitas,data
1040,0.0,0.0,0.0,0.0,0.0,122122394.54,0.0,0.0,20068.13,4348.1,6689.38,0.0,0.0,119512983.0,6696068.72,0.0,0.0,2022-05-01
1040,0.0,0.0,0.0,0.0,21.26,134775508.47,0.0,0.0,15969.14,3459.99,5327.48,5556.92,0.0,120572858.7,5534083.21,0.0,0.0,2022-01-01
1040,0.0,0.0,0.0,0.0,0.0,199927689.5,0.0,0.0,19480.13,4220.7,6493.37,0.0,57667366.88,150674897.69,12784447.67,0.0,0.0,2022-12-01
1040,0.0,0.0,0.0,0.0,0.0,122938785.41,0.0,0.0,18592.73,4028.42,6197.59,4717.95,0.0,119310563.25,6093196.33,0.0,0.0,2022-04-01
1066,0.0,0.0,0.0,0.0,0.0,85886.26,0.0,0.0,2315.19,31317.77,812.58,0.0,407517.15,0.0,28770.45,62607.17,51893.34,2022-02-01
1066,0.0,0.0,0.0,0.0,0.0,91005.27,0.0,0.0,2828.1,40996.66,942.7,0.0,347690.88,12.32,41965.26,128132.97,52864.81,2022-03-01
1066,0.0,0.0,0.0,0.0,0.0,73153.04,0.0,0.0,2828.1,200065.32,970.6,0.0,357675.67,0.0,21358.79,70721.04,4224.15,2022-01-01
1066,0.0,0.0,0.0,0.0,0.0,84740.52,0.0,0.0,2315.19,50878.91,771.73,0.0,457024.84,0.0,23583.0,84866.53,57788.06,2022-04-01
1066,0.0,0.0,0.0,0.0,0.0,56421.94,0.0,0.0,2456.62,51073.07,1119.28,0.0,440001.68,0.0,32961.38,60524.74,90766.28,2022-09-01
1066,0.0,0.0,0.0,0.0,0.0,92490.92,0.0,10.49,728.93,53946.7,710.86,0.0,14013736.11,0.0,29421.92,36435.33,121619.27,2022-10-01
1066,0.0,0.0,0.0,0.0,0.0,154396.16,0.0,0.0,18024.75,53700.4,14480.29,0.0,186933058.84,0.0,102597.3,99502.54,265827.71,2022-11-01
1066,0.0,0.0,0.0,0.0,0.0,58679.24,0.0,0.0,1578.95,48029.28,1619.06,0.0,342106.19,0.0,35091.29,74123.67,56258.45,2022-08-01
1066,0.0,0.0,0.0,0.0,0.0,72456.82,0.0,0.0,1161.65,42651.39,710.86,0.0,370688.65,0.0,35767.21,119958.06,54201.68,2022-06-01
1066,0.0,0.0,0.0,0.0,0.0,405137.31,0.0,0.0,4218.93,57389.79,1406.3,0.0,482454507.88,0.0,109064.95,241004.96,999555.25,2022-12-01
1066,0.0,0.0,0.0,0.0,0.0,85518.69,0.0,0.0,2329.97,39334.76,771.73,0.0,355337.76,0.0,23919.08,115446.48,55421.23,2022-05-01
1066,0.0,0.0,0.0,0.0,0.0,92722.76,0.0,0.0,1311.29,47024.97,710.86,0.0,352125.05,0.0,29757.29,93789.53,52917.11,2022-07-01
1074,0.0,0.0,0.0,0.0,46171.78,477606530.22,0.0,0.0,121888.1,26435.76,26251.25,0.0,0.0,656296123.5,43758133.39,346421.06,1218993.06,2022-06-01
1074,0.0,0.0,0.0,0.0,53544.24,738534479.07,0.0,0.0,126547.19,27482.93,31314.76,0.0,27489580.01,1006704500.77,46666083.2,8600.34,1879796.88,2022-11-01
1074,0.0,0.0,0.0,0.0,50365.43,470736410.29,0.0,0.0,131277.78,28471.49,27588.39,0.0,0.0,653127318.58,48441515.5,10268.77,597204.79,2022-05-01
1074,0.0,0.0,0.0,0.0,64925.69,483424113.95,0.0,0.0,143832.52,31212.28,36959.77,0.0,0.0,661685742.45,39805457.71,118544.84,366784.82,2022-09-01
1074,0.0,0.0,0.0,0.0,34164.86,463834619.89,0.0,0.0,116831.85,25364.4,26561.06,0.0,0.0,677860753.93,13826524.94,811815.88,167609.07,2022-01-01
1074,0.0,0.0,0.0,0.0,96748.04,801074553.86,0.0,0.0,178685.76,38775.01,48981.01,0.0,48145906.08,921467075.48,110717111.0,801045.23,926998.17,2022-12-01
1074,0.0,0.0,0.0,0.0,38760.35,483418843.86,0.0,0.0,96761.55,20986.59,20807.66,0.0,0.0,658244576.35,46876994.56,51149.47,1307504.54,2022-08-01
1074,0.0,0.0,0.0,0.0,47200.06,477838638.35,0.0,0.0,124201.33,26940.46,24753.72,0.0,0.0,648765560.58,40327372.41,11613895.6,447551.85,2022-07-01
1074,0.0,0.0,0.0,0.0,44832.15,497766374.39,0.0,0.0,100302.99,21752.23,21219.12,0.0,959398.84,884845624.39,41785604.47,101185.32,780280.82,2022-10-01
1074,0.0,0.0,0.0,0.0,54725.75,470764733.1,0.0,0.0,112744.58,24463.28,23578.72,0.0,0.0,656516121.8,42332748.02,271260.98,2070163.67,2022-03-01
